ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
610|Other|0-5|Female|45-64|The potential to engage people in working with plants - edible and non-edible. |It seems to attract a pretty white, middle class demographic. It would be nice to see some diversity - racial/ethnic, SES. |Not well informed enough to answer this question|I heard about a naturalist program also ran by Extension. That seems pretty cool and relevant. 
611|Master Gardener Volunteer|10+|Female|65+|I think the educational part of the program has come a long way in the past few years. I facilitate our county Level 1 program and the improvements there are amazing. I would like to see more of the modules finished so we can expand our programs on the county level.|I think the level 1 modules should all be ready to us when they are posted. I am not paid staff and think I should not be the one doing the power points for the training.|Expanding the education componet.|The lack of funding is the biggest threat.
612|Master Gardener Volunteer|10+|Prefer not to respond|Prefer not to respond|Online continuing education programs |Can’t think of anything |Online learning |?
613|Master Gardener Volunteer|0-5|Female|45-64|Education and opportunity|There is so much variety that everyone should be able to find something.  I realize this can be a logistical nightmare but it is appreciated.  |How does a site become approved?  There are opportunities for the MGVs beyond the approved locations.|I don’t have a thought for this one
614|Master Gardener Volunteer|10+|Female|65+|The MGP's greatest strength is each individual member with their horticultural experience and enthusiasm.|The greatest weakness is the volunteers themselves.  They can be terrific helpers with their time and life skills but their personal life comes first and family can abruptly change the volunteer's ability to contribute time.    The Learning Store's most popular items should be updated.|Finding opportunities in our community is not a problem because we are overwhelmed with requests for help or presentations.  Placemaking concepts may help ;us develop our strategic plan and differentiate educational projects and vanity projects.|The state is the biggest threat to our existence.  Another threat is the demand to justify our existence including counting contacts, detailed reporting and counting everything.  A third threat is the complete turnover in control with dictates coming from Madison diminishing local control of our county association.  I am a 16 year member and our local WIMGA representative.
615|Master Gardener Volunteer|43595|Female|65+|Very good hort training, useful and informative MG website, excellent information from specialists--but fragmented and tedious to access, responsive state staff.  I love the oppprtunities to continue to learn and inform others, work in teams with other gardeners, help make our community a better place by adding beauty and helping grown food for citizens.|Improve communication tools--accessability, websites, links.  Provide better oppprtunities for input from Master Gardeners--than listen to them.  State program often seems internally focused and tends to bring forward ideas, changes without considering issues of implementation.  Often does not seem to consider that MFs are volunteers, not employees.|I think the program is ideally situated to embrace and drive the concept of looking at the total ecosystem and enhancing diversity.  You have a cadre of motivated gardeners who can be led--not driven--to embrace change if it is meaningful and well communicated.|It is increasingly difficult to get people to take officer or chairmanships in volunteer organizations.  Competitors include other gardening groups,  commercial tours or training, general internet information.  
616|Master Gardener Volunteer|43595|Female|65+|Our program is very involved in and around the county volunteering in a variety of ways, schools, businesses, local beautifucation programs, parks, both physically and educationally.  I feel this is the statement of the master program.   |"I would make sure that folks who take the class are unaware that the mission statement of the master gardeners is ""volunteering and education the public"".  Appreciate all the resources available to members regardless of their level of involvement in the program."|To make sure the general population continues to be aware of invasive species and how to combat them in the least restrictive environmental way.  |Some of the more popular garden groups could take away from the master gardener program though locally, members of our group have been invited to speak at these outside groups.
617|Master Gardener Volunteer|43595|Prefer not to respond|45-64|Provides horticultural education to the community. I'm excited by the response of the people we reach on so many levels by our involvement.  We offer programs that reach people of all ages and economic levels. All provided free of charge in our community. |I believe the program would improve by more involvement of the Ext. Educator. Not in a 'tell us what we can or cannot do, but by taking a real interest in and understanding of the many educational/community outreach programing we have developed in our community. However, I think that when it comes to the functioning of each MG organization in the state, the Ext. Educator needs to listen and allow the organization to speak to the needs unique to each organization and their communities. Communication training for the Ext. Ed. may be helpful.  I don't feel I can speak to the eliminate or avoid question.| I think that some flexibility with the  Training Program is needed. Understanding that each community has different needs depending on each areas ability to recruit new members.  I feel I can only speak to  what I have experienced in my own community. We need to form 'community' within our membership!  The significance of the MGV program is the DEDICATION of its VOLUNTEERS!|I will again emphasize the importance of the Ext. Educators active roll in working with the MGs and supporting the outreach programs.  It is important that the leadership UW, WIMGA Director etc. understand that, for instance, the Training Program needs to be structured, but allowing for some flexibility 
618|Master Gardener Volunteer|43595|Male|65+|I enjoy learning and I enjoy teaching|Our home association tries to do to much at the cost of education |My focus is on education. I would like more community education. |Even though very good, more publicized may help.
619|Master Gardener Volunteer|10+|Female|65+|Provides a variety of  current Horticulture information The part of the program that excites me is the opportunity for Certified MGV to reach out to all ages and share Horticultural education and information.|Improve training...explain in detail the expectations of becoming a Certifed MGV& requirements!|More educators rather than Garden Maintenece workers...require more hours educating the public..provides opprotunity to continue MGV program in less physical manner|Garden Clubs...provide a relaxed, social, fun, less requirements, tea & cookie time, less paper work, responsibilies, less must do projects!
620|Master Gardener Volunteer|0-5|Female|45-64|As a member of MAMGA board and Community Services Grants coordinator, we strive to educate the public, schools and community garden members about the benefits of gardening.  Each year we see increasing interest in our grant program with some very innovative work going on at school and community gardens. I, along with other Board members, enjoy visiting the sites to learn from the projects but also to make sure MAMGA funds are spent to meet the goals.  I also greatly enjoy the garden visits (Olbrich, Epic, Rotary, etc) and diverse programs that MAMGA offers. |What would help is to have more funds available for our increasingly popular Community Services Grants program. We are limited to $2000 unless we pull from our reserve fund. We have spent quite a bit of time organizing the grant application and review process to ensure we have the information we need to make funding decisions. The grant scoring workgroup is made up of 4-5 individuals to ensure fairness in consideration of grants.  I would like to see our membership numbers improve. People need to understand that they don't have to be certified OR actively gardening to enjoy the benefits of membership which include the great educational programs. This might keep some of the older people involved.|We will continue to embrace the idea of assisting students and members of the communities understand the value of vegetable and flower gardening, both for good nutrition and mental health.|The University's requirement to do a background check (my opinion) scared off possible members. The certification process seems to be complicated for some people who just decide to let it go and drop their membership.  Again, they should be encouraged to be non-certified members for the sake of the other benefits. While several other entities offer grant programs to schools and community gardens, I don't perceive them as significant competition. Again, increased funding for MAMGA Community Service Grants would eliminate the growing obstacle of being short on funds. 
621|Master Gardener Volunteer|43595|Female|45-64|The program provides opportunities for MG's to become involved out there in our community and also affords the opportinity to meet new people and maybe friendships are also form as a result|I would not avoid or eliminate anything.  What they could improve would be more opportunities for learning programs geared more towards the seasoned MG|We need to get more young people involved and hooked.  Come up with innovative ways of doing this.  I know its not easy but maybe there should be surveys at the high school level to see what high school students are interested in|I really can nmot think of any
622|Master Gardener Volunteer|0-5|Female|45-64|University based research that is easy to reference |Locally the meetings are really long. Would like to see a MGV app. Would also like more interactive webinar training|Increase in technological interfaces|In my particular county i do not see any external threats. A stumbling block may be generational as we seem to be getting less and less people willing to volunteer
623|Master Gardener Volunteer|0-5|Female|45-64|Shared experiences- love to discuss what works and doesnt with others|connection - i don't know how to get in touch with others except at the meetings. Maybe a master list?|How aware is the general public that we exist? More visible?|People all doing there own thing - lack of cohesive group
624|Master Gardener Volunteer|0-5|Female|65+|Diversity of opportunities for volunteers both in volunteer work and continuing education|Wish there would be more opportunity for new gardens in the area to be accepted as approved gardens.  Also- as enriching as continuing ed. is, I feel that after a few years as a Master Gardener, perhaps this component could be waived or lessened.  I find a lot of continuing ed., though beneficial, repeats from one year to the next.|Several Master Gardeners that I know are not planning on continuing with the program.  This is due to 2 reasons- inability to volunteer enough hours to maintain their active status (this is especially true for Master Gardeners who are still working outside of the home); and continuing ed. expectations.  At the same time, there is still appears to be a significant need for master gardener help.  Perhaps by loosening some requirements, we might be able to keep these volunteers engaged until they have more time in their schedule to be more active with the program.|I recently learned about the Master Naturalist Program, and am thinking of pursuing that.  I would love to participate in both, but would not be able to maintain the level of volunteer hours in both combined.  I had been volunteering at Boerner Gardens; and now am interested in also volunteering as a Naturalist at Retzer Nature Center.  In contacting Ann Weid, I'm only able to count my MG hours if it's specifically working in the garden, or something else related specifically with gardening at Retzer.  Would be nice if the two programs could be blended or shared in terms of volunteer hours.  I'm guessing that a number MG volunteers may also be interested naturalists as well 
625|Master Gardener Volunteer|10+|Female|45-64|The base of knowledge is very important. Gives validation to volunteer work teaching people how to grow plants|more funding for outreach|continue on line presence.. share articles in other journals/websites... field days...keep people learning how to connect with plants |government that doesn't take care of people.. cuts to funding
626|Master Gardener Volunteer|10+|Female|65+|Being involved in the community to help with gardening projects and questions from the general public|Would eliminate tough decisions about what qualifies as “hours” |The master gardener program could have a more recognizated And respected place in the community |It is not understood by the general public. In some cases it is viewed as “elite” gardeners. 
627|Master Gardener Volunteer|0-5|Female|45-64|Based locally, serving your close community|More training opportunities for training|Local workshops passing on what I have learned in my trainings|Not training enough new MGs to take over, natural succession 
628|Master Gardener Volunteer|43595|Female|65+|Provides volunteers for different garden sites, provides ongoing education to members.|An easier way to record volunteer hours at the end of the year.|No comment|Background checks for volunteers seems to be unnecessary.
629|Master Gardener Volunteer|43595|Female|65+|Supports best practices in horticulture, educated us and we in turn educate community members, volunteer opportunities. |???|Opportunities to travel to other sites, states, countries to extend learning|Need a focus on recruiting  younger generations
630|Master Gardener Volunteer|43595|Female|65+|Brings like minded people together and creates a friendly and fun camaraderie. Educates through interaction with other local gardeners and overcoming the challenges of the local growing environment.|I would eliminate the formality of some of the participation restrictions. When the effort to conform to  policy and regulation out weighs the enjoyment and  eagerness to volunteer, then membership declines .   Volunteering has to be fun as well as productive  and meaningful.  Once someone steps in and overrides all of that for establishing another program or  insisting on conformity to new rules and regulations and is not sensitive to the membership, sustainability of the organization will suffer and the individual member's sense of value will be significantly diminished.   |The training and education aspect opens up opportunities for getting the membership involved and uniting existing members with the new.  the need for organization sustainability especially when it's volunteer  driven can be stabilized with more connection with the university extension outreach. |In Door County there are many organizations that are affiliated with the parks, nature conservancies and restorations projects.  Many of our volunteers are  involved with 2 - 3 of the areas organizations.  When being a Master Gardener becomes less fun or the expectations that are imposed on the 25 - 40% of the members who do all the volunteer work, becomes too much and not fun, they quit.
631|Master Gardener Volunteer|43595|Male|65+|Working in our public display garden (Door County), growing plants for our plant sale, and more generally, the educational opportunities.|I very much like the program we currently have in Door County. I would avoid any move toward an inflexible, one-size-fits-all approach.|What we have in Door County—the opportunity for extensive and varied hands-on gardening experience with other gardeners and a vigorous educational program featuring both home-grown and imported expertise.|The uncertain future of the research station where our public display garden is located and where the greenhouses are located in which we grow plants for our plant sale; the continual risk of attracting too few new members to adequately staff our extensive programs due to the large number of interesting volunteer opportunities in Door County; our inability to attract young members.
632|Master Gardener Volunteer|10+|Female|65+|Our MAMGA organization fosters fellowship and sharing knowledge between members. It supports local gardening programs financially and with volunteers.  It assists UW Extension horticulture with its major projects such as developing a teaching/experimental garden.  The dedication, interest and enthusiasm of our members excites me.|I would make recertification as simple as possible and make volunteer activities that qualify for recertification broad and varied, embracing the average age, abilities and interests of our members. I would avoid restricting volunteer activities to specific categories or making reporting complicated.  For example, avoid the requirement to volunteer a specified number of hours in a specified number of categories. |The program needs to recognize that our members are mostly retirees and that the age for retirement is climbing which may affect the abilities of our members.  The program could broaden qualifying tasks to include more that do not require physical fitness.|My previous comments have alluded to several obstacles like an aging membership and and complicated recertification. Competitors could comprise an endless list.  Virtually every non-profit and political organization is clamoring for volunteers, and the need will only grow as the climate changes and the population increases.
633|Master Gardener Volunteer|0-5|Female|45-64|Education, Service|Canned presentations for local groups.  We are mostly gardeners, not support people.|social media how to guides, things that have web security built in|I don't see competitors, but possible collaborators
634|Master Gardener Volunteer|43595|Female|45-64|Wonderful information and presentations. The continued learning and ideas. Volunteering, teaching, and helping.|Make it more hands on even in the classroom instead of only powerpoint slide presentations. |"I'd love to see more ""side"" information (composting, bee keeping, vermiculture...) and certifications. :D"|The biggest threat I think is the tend toward total electronics and no field work.
635|Master Gardener Volunteer|10+|Female|65+|I like the education aspect.  Also the chance to form.friendships while doing M.G. projects.  I am glad we will be able to record our hours digitally.|We need more resources for our monthly meeting programs.  There should be a way to get more members quicker than going through all the training.|I do not see future opportunities.  It is hard to get young people involved.  Our chapter is a bunch of old people.|No young members.
636|Master Gardener Volunteer|10+|Female|65+|not too much it repeats much of past info|????????????????|?????????????? |a good share of people do not work hard or show up-------when they do it is the social aspect they are there for------ also with newer people, they are not prepared with simple garden information 
637|Master Gardener Volunteer|43595|Female|45-64|provided me with a list of places i could volunteer|Level 2 courses - would like short courses like 2-3 day sessions (e.g. very Monday morning for 2-3 weeks) with field trips on a particular topic (tree identification). |Work with professors/lecturers at UW for intense 2-3 hours sessions on a particular topic|I recall the handouts of the powerpoint presentations to be lacking. Photos within the powerpoint were too small to refer to and often times color pictures pertinent to the discussion where printed out in black and white. Online manual and other online tools that MGV can refer to would be particularly important since the program provide so much information. You want MGV to be able to access information quickly - a written manual is great but online with searchablility is key. 
638|Master Gardener Volunteer|43595|Female|45-64|like to learn|level 2 and 3 offerings that are quick - 3 hour sessions or 1/2 day field trips. Also, access to the latest MGV manual so that everyone has access to the most up to date information. |Need better advertising of upcoming level 2 and 3 educational opportunities. |?
639|Master Gardener Volunteer|0-5|Female|45-64|Learning in program and from other MGs. Great camaraderie in our garden project and great relationship with the garden hosts. |Hard at first to figure out hue and where to get hours. |Need new sources of funding. Need to attract younger members. Need to be willing to change methodology and accept new ways of doing things. Cultural changes. |Need to embrace new technology for timesheets, etc. Need leaders with management skills on MG Board etc. competitors are anything that people with disposable time can do. 
640|Master Gardener Volunteer|10+|Female|65+|Fellowship with other garden lovers|too much business|love the fellowship and knowledge of other garden lovers|Business - too restricting 
641|Master Gardener Volunteer|0-5|Female|65+|I think they do education well and commanding the respect of the public for that knowledge.|I really missed the classes Sharon Morrisey held bi-weekly for the Plant Health advisors after she retired.  They were great in keeping up with current issues affecting our gardens.|"Help people realize that the can bet heir own ""farm to table"" suppliers from their own garden."|Continued emphasis by legislators to reduce funding to the UW System
642|Master Gardener Volunteer|43595|Female|45-64|I am always learning new things from people who have similar interests.|The recent changes involving structure and the loss of Sharon hopefully will not be weaknesses.|Not sure|I don't know of any
643|Master Gardener Volunteer|43595|Female|65+|I like being involved in community projects. I think there is good camaraderie.|The programs could emphasize pollinators and beneficial plants more. |The farmers market booth could help educate public on pollinators and earth friendly practices.|MG performs a public service with free labor. Don't think we have competition there.
644|Master Gardener Volunteer|10+|Female|45-64|The people and education opportunities for me and to share my knowledge with the community.|the time sheet is horrific! I understand the need but it’s a pain.|People want to grow their own food and we can show them opportunities to fit all occasions.|Old age but there’s nothing we can do about that one.
645|Master Gardener Volunteer|43595|Female|65+|This program gives me accurate, researched information that I can share with others as well as apply to my own projects and interests. I like answering questions about gardening and feel that I can do a good job with the training I have gotten.|For me, moving toward what feels like a more political involvement is not appealing. However, I understand that to preserve our program, which is so valuable to many, we must be able to justify, with reasons based in fact. |I'm not sure I can answer this|I have gotten pushback from the Master Naturalist Volunteers who seemed to feel that only native plants should ever be planted in WI. This may have been just one person's bias but the negativity was surprising. 
646|Master Gardener Volunteer|43595|Female|65+|Learning new things, interaction with other gardeners, community service |Nothing |Online short programs for education credits |Other garden clubs 
647|Master Gardener Volunteer|10+|Female|65+|Volunteering builds relationships between members and other nature-based non-profits.|Concentrate on expanding the use of native plants and start educating the public about lawn care practiced that are detrimental to society. Give more volunteer hour credit for researching and presenting programs to other groups.|We need to take a more active role in city open space planting to encourage native, sustainable landscaping.|Our competiters are nurseries that are promoting their products rather than native plants. Let's combine efforts with Wild Ones, and other groups focusing on restoration.
648|Master Gardener Volunteer|0-5|Male|65+|Working with home gardeners. Teaching and showing them solutions to their gardening problems. |Better notices of training opportunites|For the small gardeneres, How to work with contianers. What variety of plants work best in small spaces.|Bad information on the internet.
649|Other|10+|Male|45-64|The strength of the program seems to be in the training (and continued education) of volunteers, most of whom go on to be very involved in their communities with support for horticulture and gardening|I would improve outreach to future Master Gardeners and strengthen the support networks for traditional and digital education. The gutting of UWEX staff due to budget concerns wasn't helpful either|"I see future partnerships and collaborations with MGVs offering more localized support and education on a broad range of vital topics (Pollination, food safety, gardening for wildlife, etc.)  Diversifying training and establishing more ""upper tier"" MGVs that want to broaden their education will create a more diverse support system"|Funding support seems to be a challenge.  While cutbacks in Extension Horticulture Agents were warranted due to budget concerns, the skeletonization of UWEX support for the general gardener and commercial grower is too thin.  The MGV Program might be part of the solution but adequate UWEX staffing is also vital
650|Master Gardener Volunteer|0-5|Female|45-64|Provides excellent broad garden education topics with a variety of ways to obtain information|I thought Kaitlyn did a good job|Access to information and volunteer opportunities are a strength of the program|IDK
651|Master Gardener Volunteer|43595|Female|65+|We all enjoy and learn so much from the various conferences around our area.|I thinks all gardeners should be allowed in the learning classes and presentations. There are many who would participate but cannot take the Level one class at this time in their life.|I think everyone who attends a level 1-2- or 3 class should be given credit, no test required, if full participation of class.|I have a business and was not comfortable giving birth date and social security number to the state data base for so many people to access this information.
652|Master Gardener Volunteer|0-5|Female|65+|Basic training; presentations to public (e.g., LifeLong Gardening), supporting area gardens through volunteer hours; hort advice to public|Insufifcient communications; turnover of staff in Milwaukee office-difficult to keep track of who to call for support; confusion as to what qualifies for annual education hours|Publish more information on gardening challenges such as crazy worms; I think the new structure for monthly meetings/education/committee meetings on same day is a great idea; we need more support in getting our education hours and fitting into the right committees|Financial challenges; getting new staff up to speed, introduced to MGVs and intergrated into their programs; 
653|Master Gardener Volunteer|0-5|Female|45-64|Volunteering within the community for the betterment of the community|Getting more people to step-up.  It seems that the same group of people do all of the work all of the time.|I would like to see more of the younger generation get involved.  Right now most of our member are 40 and older.|Lack of volunteers
654|Master Gardener Volunteer|43595|Female|45-64|"The opportunity to learn about horticulture topics for ""free"" is very valuable to me. I love the advanced training available online and the Library of articles to read through. "|Local level groups often struggle with membership and meeting attendance. I suspect that for working people, it is not fun to attend more meetings in the evenings. Maybe more fun or educational events would attract more people instead of deterring them with structured meetings. |A state wide or structured website program could open the doors for more communication, and public education. |It seems to me that County level administration is always at risk of being downsized. We depend on the Admin Assistant in our county office for support. 
655|Master Gardener Volunteer|10+|Female|65+|Our community outreach and teaching/training are standouts. We receive excellent training and information resources and can share that with the community we live in. Many of our Master Gardeners are very involved with community training and projects with at least double the requests turned down because there just aren't enough trained volunteers to fill the need. Hands on with people is the greatest strength.|I don't know how to change the outcome but many of the newly trained folks evaporate after the first year. They want the knowledge and the name but don't want to continue the responsibilities.|Small space gardening, urban gardens, aquaponics, sustaining your own yard and garden, Many clients would like home visits but we don't have the manpower and time to do so|Getting credit for the many programs given through the extension. Big box stores and garden centers advertise and don't always put out accurate information.
656|Master Gardener Volunteer|43595|Female|65+|Upkeep and care of community gardens|My involvement has always been rather informal, working in a community garden.  Many of my co-volunteers have left the program because of what they think (and I agree) are unnecessary requirements.|not sure|I don't know of any competitors.  And, it seems we should embrace any who are interested in the kind of work we do
657|Other|0-5|Female|45-64|Provides away for people to positively be involved in community|The administration is confusing,  especially when the adviser really wants nothing to do with the program, and you are told by supervisor not to pick up the slack.  The county has not really committed to the program,  so it leaves a program limping along.|Food System work|Lack of County support $
658|Master Gardener Volunteer|0-5|Female|25-44|Hhh|Hhh|Hhh|Yyy
659|Master Gardener Volunteer|10+|Female|65+|Easy to leaarn and to hunt up ideas and information needed to do various projects.|"I am 75 years old and I am ""learned"" out"".  I just want to enjoy all aspects of the gardening program"|"Again at this age I want to be able to pet"" the plants and enjoy the ""tiptoe thru the tulips"""|"I do not think a""competitor"" has a chance to come close to the Master Gardener concept."
660|Master Gardener Volunteer|10+|Female|65+|I like the new ideas and the new gardening techniques  and places to visit.|"Sometimes it gets way too ""have to be perfect"", I personally like the programs that make gardening fun!!!"|I started my MG in Iowa because that was the closest, I was sent by my boss so I would learn somethina about gardening, as he was going to open a 9 hole golf course and wanted the correctr thingsd p;lanted.|Where I live there are no competitors
661|Master Gardener Volunteer|43595|Male|65+|We meet and get things done|Numbrs, we need more members|We have so many request for help in the community that we are able to respond to only a few.|with low numbers we are getting butned out
662|Master Gardener Volunteer|10+|Female|45-64|Educational programs and volunteer opportunities. Meeting people with similar interests.|We need to encourage younger members.  We need to regularly hold classes to grow our programs.|Gardening as a lifestyle--all ages, diverse gardening options.|The insurance problem has frustrated me a lot. A state sponsored organization should have been able to come up with some solution. Still unresolved. If this is the future support we will be given, not very hopeful for the organization. We have not offered the class for several years in a row--new members are needed to keep an organization thriving.
663|Master Gardener Volunteer|10+|Female|45-64|Public/consumer education, excellent publications, highly qualified UWEX educators and UW staff, advanced education delivery systems.|More detailed topic education, a “corporate” history of MGs and the UWEX, lack of cohesive message to the taxpayers of Wisconsin, lack of County and State financial resources|The MG Programs should have access to University agriculture, biology, and horticulture facilities. MG volunteers are highly qualified and should be able to use campus facilities to conduct research, experiments, use equipment such as greenhouses.  Consumers are interest in using plants to make foods and goods using their own plant based products. Many technical colleges have stopped offering classes on creating and using horticultural/agricultural products. |Pres.Ray Cross and the UW Board of Regents are the biggest weaknesses and dangers to the MG Program.  Their lack of support creates constant chaos and instability in programming, delivery, and consumer options.
664|Master Gardener Volunteer|43595|Female|65+|Education programs!  Online information. Fellowship! |there is a great emphasis on raising funds thru the plants sales and this does create mych needed connections with the other master gardeners but it would be great if this venue could also be used as an educational tool and not just a production line. |online education.  certainly more approved gardens for master gardeners to volunteer their time at.|financial.  social garden clubs could draw on the membership.
665|Master Gardener Volunteer|10+|Female|45-64||||
666|Master Gardener Volunteer|0-5|Female|45-64||||
667|County Coordinator/Educator|0-5|Female|25-44||||
668||||||||
669|Master Gardener Volunteer|43595|Female|65+||||
670|Master Gardener Volunteer|10+|Male|65+||||
671|Master Gardener Volunteer|43595|Male|45-64||||
672|Master Gardener Volunteer|0-5|Female|45-64||||
673||||||||
674|Master Gardener Volunteer|43595|Female|65+|Continuous learning opportunies through seminars, on line classes, field trips, a d communication with otner gardeners.|||
675||||||||
676||||||||
677|Master Gardener Volunteer|10+|Female|65+||||
678|Master Gardener Volunteer|0-5|Female|45-64||||
679|Master Gardener Volunteer|43595|Female|65+||||
680|Master Gardener Volunteer|10+|Female|45-64||||
681||||||||
682|Master Gardener Volunteer|0-5|Female|25-44||||
683|Master Gardener Volunteer|0-5|Female|45-64|Master Gardener Training was excellent.  The people|||
684|Master Gardener Volunteer|0-5|Female|25-44||||
685|Master Gardener Volunteer|0-5|Female|65+||||
686|Master Gardener Volunteer|43595|Female|65+|Educational opportunities|||
687|Master Gardener Volunteer|0-5|Female|45-64|Opportunities for education working with orofessionals. Last summer after surveying white fringed orchids for years on the Chiwaukee prairie as well as lots of restoration work, I had the great honor of helping pollinate the flowers with managerial staff from the Chicago Botanic Garden of which I have been a member for 40 years, DNR whom I’ve volunteered with in Illinois and Wisconsin for 19 years, Dept . Of Agriculture, scientists from U Wisconsin Madison and our Chiwaukee Prairie group. It was a great experience learning from all of these dedicated people on one project day|Better communication between the Kenosha county office and volunteers.||
688|Master Gardener Volunteer|0-5|Female|25-44|Offers learning opportunities |||
689|Master Gardener Volunteer|0-5|Male|25-44||||
690|Master Gardener Volunteer|0-5|Female|25-44|Communication from the State and County level is wonderful.  I like being involved in local projects that I feel passionate about.|I think it's great.||
691|Other|0-5|Female|45-64||||
692|County Coordinator/Educator|0-5|Female|25-44||||
693|Master Gardener Volunteer|10+|Prefer not to respond|Prefer not to respond||||
694|Master Gardener Volunteer|0-5|Female|45-64||||
695|Master Gardener Volunteer|10+|Female|65+||||
696|Master Gardener Volunteer|43595|Female|45-64||||
697|Master Gardener Volunteer|0-5|Female|65+|Community education and beautification |It would have been nice to have a mentor upon completion.  Don’t feel a connection to group||
698||||||||
699|Master Gardener Volunteer|10+|Female|65+||||
700|Master Gardener Volunteer|0-5|Female|65+||||
701|Master Gardener Volunteer|43595|Female|65+|Provides excellent training so one can pass the information on to people asking questions.|Nothing||
702|Master Gardener Volunteer|43595|Male|65+||||
703|Master Gardener Volunteer|0-5|Female|45-64|Haven’t participated as of yet|||
704|County Coordinator/Educator|0-5|Female|25-44||||
705|Master Gardener Volunteer|43595|Female|65+|Don’t know|?||
706|Master Gardener Volunteer|0-5|Female|25-44|Variety of project throughout the county and depth of knowledge among the volunteers and organizers. |Diversity in the group members ||
707|Master Gardener Volunteer|10+|Female|65+||||
708|Master Gardener Volunteer|10+|Female|65+|Educational information provided, brainstorm with other MGV, promote UW Extension and gardening in the community.|We have had problems attracting new MGV.  Maybe the MG classes could be less intimidating.  ||
709||||||||
710|Master Gardener Volunteer|0-5|Male|65+|Being able to maintain gardens that otherwise would become neglected.|Reduce number of required hours as one ages.||
711|Master Gardener Volunteer|10+|Female|45-64||||
712|Master Gardener Volunteer|0-5|Female|45-64|Education and opportunity to learn more |||
713||||||||
714|Master Gardener Volunteer|43595|Female|45-64||||
715|Master Gardener Volunteer|0-5|Female|45-64|Staff events|I would like to improve participation in the 53206 area. |Urban gardening in city streets on small lots.|
716|Master Gardener Volunteer|10+|Female|65+|Guest speakers and on-line gardening tips and plant info. Being a Project Coordinator for 4 hard working, fun and imaginative volunteers.|Local meetings seem more directed to a special group of volunteers. Sometimes too long and boring.||
717||||||||
718|Master Gardener Volunteer|43595|Female|25-44|I appreciate the community relations MGV's have with the public, schools, elderly etc.|Being a full-time worker, my volunteer time in more limited than those that are retired.  I do wish there was more opportunity for CE hours after 5pm or on weekends.  Also, there have been work days i was unable to attend because it coincides with my employment.|n/a|
719||||||||
720|Master Gardener Volunteer|10+|Female|65+||||
721||||||||
722|Master Gardener Volunteer|43595|Female|45-64||||
723|Master Gardener Volunteer|10+|Female|45-64|Like minded people with a passion for gardening is what excites me.  I love all of the available online continuing education and also seminars that our MGV assoc. throughout the state put on. My knowledge helps others.|Can't think of anything at this time||
724|Master Gardener Volunteer|43595|Female|45-64|Horticulture therapy|||
725|Master Gardener Volunteer|43595|Female|65+|The extensive education opportunities, workshops, seminars. I'm excited about the wonderful Fellowship in Dane County amongst the volunteers and educators.|Can't think of anything offhand||
726|Master Gardener Volunteer|10+|Male|65+||||
727|Master Gardener Volunteer|0-5|Female|65+||||
728|Master Gardener Volunteer|0-5|Male|65+||||
729|Master Gardener Volunteer|43595|Female|65+||||
730||||||||
731|Master Gardener Volunteer|10+|Female|65+|Being involved in community|Keeping hours||
732||||||||
733|Master Gardener Volunteer|10+|Female|Prefer not to respond|I enjoy learning about gardening. The newsletters usually give information about new varieties and give opportunities for garden talks around the state.|||
734|Master Gardener Volunteer|43595|Female|45-64||||
735|Master Gardener Volunteer|0-5|Female|65+|Any program that meets with the public. A great way to inform people of all the great articles/programs|None||
736|Master Gardener Volunteer|10+|Female|65+||||
737|Master Gardener Volunteer|10+|Female|65+||||
738|Master Gardener Volunteer|0-5|Female|45-64||||
739|Master Gardener Volunteer|0-5|Female|45-64|Opportunity to meet new people with similar interests, while making our community look better |The program meets my need for further education and opportunities to get hand on experiences |Continue with new gardens and offer continued education |
740||||||||
741|Master Gardener Volunteer|0-5|Female|45-64||||
742|Master Gardener Volunteer|10+|Female|45-64||||
743||||||||
744|Master Gardener Volunteer|10+|Female|45-64|Sharing our knowledge with the public|||
745|Master Gardener Volunteer|0-5|Female|45-64|I enjoy working on gardening projects that give back to the community |||
746|Master Gardener Volunteer|10+|Female|65+||||
747|Local support staff|0-5|Female|45-64||||
748|Master Gardener Volunteer|0-5|Female|45-64||||
749|Master Gardener Volunteer|0-5|Female|65+||||
750|Master Gardener Volunteer|10+|Prefer not to respond|65+||||
751|County Coordinator/Educator|10+|Female|65+|the program  shows it's strengths through continued education. Subjects that will enhance our teaching and educating skills with the public.  |frustrations with people of power within the association|make volunteers aware of other opportunities for sharing their skills and willingness to be a part of the community, not just selective causes determined by the President. Allow the Volunteers to be a committee member so others can become involved instead of having selective volunteer events determined by one or two of the members.|
752|Master Gardener Volunteer|43595|Prefer not to respond|65+|Community education and support.|Needs to be more grateful and positive.  Rather than those attributes, there seems more and more demanding of time and work.  There are too many politics involved.||
753|Master Gardener Volunteer|0-5|Male|65+|Learning opportunities are very good.  |Pulling someone else's weeds to get volunteer hours gets old.  Not such a good thing for elderly with bad backs but almost reequired to get the hours.  Real opportunities otherwise are limited.||
